UNIVERSITY,ENDOWMENT_NAME,STATE_PROVINCE,ENDOWMENT_2015,ENDOWMENT_2014,MARKET_VALUE_CHANGE,ENDOWMENT_2015_OVERRIDE
"Luther College of the University of Regina","Luther College of the University of Regina","SK",1057,753,40.4,
"Luther Seminary","Luther Seminary","MN",90326,90326,10.1,
"Lutheran School of Theology at Chicago","Lutheran School of Theology at Chicago","IL",40663,39941,1.8,
"Lycoming College","Lycoming College","PA",194189,198093,-2,
"Lynchburg College","Lynchburg College","VA",98551,97263,1.3,
"Lyon College","Lyon College","AR",35111,38555,-8.9,
"Macalester College","Macalester College","MN",762018,753526,1.1,
"Manchester University","Manchester University","IN",55890,54426,2.7,
"Manhattan College","Manhattan College","NY",74868,71827,4.2,
"Marietta College","Marietta College","OH",71278,72970,-2.3,
"Marquette University","Marquette University","WI",551558,531700,3.7,
"Marshall B. Ketchum University","Marshall B. Ketchum University","CA",20337,20278,0.3,
"Marshall University","The Marshall University Foundation, Inc.","WV",111666,106284,5.1,
"Mary Baldwin College","Mary Baldwin College","VA",37009,37724,-1.9,
"Maryland Institute College of Art","Maryland Institute College of Art","MD",84451,81633,3.5,
"Marymount University","Marymount University","VA",37795,,,
"Maryville College","Maryville College","TN",62622,58053,7.9,
"Maryville University of St. Louis","Maryville University of St. Louis","MO",45535,40328,12.9,
"Marywood University","Marywood University","PA",35442,39334,-9.9,
"Massachusetts College of Liberal Arts","Massachusetts College of Liberal Arts Foundation, Inc.","MA",10344,10175,1.7,
"Massachusetts Institute of Technology","Massachusetts Institute of Technology","MA",13474743,12425131,8.4,
"McCormick Theological Seminary","McCormick Theological Seminary","IL",87821,89819,-2.2,
"McDaniel College","McDaniel College","MD",115032,113428,1.4,
"McGill University","McGill University","QC",1151275,1211315,-5,
"McKendree University","McKendree University","IL",37030,36770,0.7,
"McMaster University","McMaster University","ON",539216,578820,-6.8,
"McMurry University","McMurry University","TX",75618,76564,-1.2,
"McNeese State University","McNeese State University Foundation","LA",71001,68801,3.2,
"McPherson College","McPherson College","KS",35694,36200,-1.4,
"Meadville Lombard Theological School","Meadville Lombard Theological School","IL",25127,25213,-0.3,
"Medical College of Georgia Foundation","Medical College of Georgia Foundation, Inc.","GA",210595,212697,-1,
"Medical College of Virginia","Medical College of Virginia Foundation","VA",398839,386981,3.1,
"Medical College of Wisconsin","The Medical College of Wisconsin, Inc.","WI",778315,748637,4,
"Medical University of  South Carolina","Medical University of  South Carolina Foundation","SC",322644,312580,3.2,
"Meharry Medical College","Meharry Medical College","TN",139054,136975,1.5,
"Mennonite Education Agency Investment Fund LLC","Mennonite Education Agency Investment Fund LLC","IN",147318,154626,-4.7,
"Mercy College","Mercy College","NY",193535,147765,31,
"Mercyhurst University","Mercyhurst University","PA",30630,30187,1.5,
"Meredith College","Meredith College","NC",95297,95297,3.2,
"Messiah College","Messiah College","PA",135120,140934,-4.1,
"Miami Dade College","Miami Dade College","FL",434555,434689,0,
"Miami University","Miami University Foundation","OH",460280,464385,-0.9,460280
"Michigan State University","Michigan State University Foundation","MI",398839,403489,-1.4,
"Michigan State University","Michigan State University","MI",2274813,2145424,6,
"Michigan Technological University","Michigan Technological University","MI",95976,92920,3.3,
"Mid-America Baptist Theological Seminary","Mid-America Baptist Theological Seminary","TN",13523,,,
"Middle Tennessee State University","Middle Tennessee State University","TN",89949,89949,1.8,
"Middlebury College","Middlebury College","VT",1101054,1081894,1.8,
"Midlands Technical College","Midlands Technical College","SC",6869,4198,63.6,
"Millikin University","Millikin University","IL",122312,124943,-2.1,
"Mills College","Mills College","CA",182723,189288,-3.5,
"Minneapolis College of Art and Design","Minneapolis College of Art and Design","MN",51218,49350,3.8,
"Minnesota State University--Mankato","Minnesota State University, Mankato","MN",50670,53057,-4.5,
"Misericordia University","Misericordia University","PA",44087,39367,12,
"Mississippi State University","Mississippi State University & Foundation","MS",449106,456610,-1.6,449106
"Missouri State University","Missouri State University Foundation","MO",73663,76106,-3.2,
"Molloy College","Molloy College","NY",33268,32511,2.3,
"Monmouth College","Monmouth College","IL",103796,99214,4.6,
"Monmouth University","Monmouth University","NJ",79216,75278,5.2,
"Montana State University","Montana State University Foundation, Inc.","MT",142661,141066,1.1,127431
"Montana Tech","Montana Tech Foundation","MT",34620,34680,-0.2,
"Montclair State University","Montclair State University Foundation, Inc.","NJ",60330,58573,3,
"Moody Bible Institute of Chicago","Moody Bible Institute of Chicago","IL",47907,49420,-3.1,
"Moravian College","Moravian College","PA",106241,108683,-2.2,
"Morningside College","Morningside College","IA",44415,47267,-6,
"Mount Allison University","Mount Allison University","NB",133751,142824,-6.4,
