"RANK","NAME","COUNTRY","REGION"
"488","Palacky University Olomouc","Czech Republic","Europe"
"489","University of Graz","Austria","Europe"
"489","University of Sevilla","Spain","Europe"
"489","University of Zagreb","Croatia","Europe"
"492","Hacettepe University","Turkey","Asia"
"492","San Diego State University","United States","North America"
"494","Istanbul University","Turkey","Asia"
"494","Université de Lille I","France","Europe"
"496","Kyung Hee University","South Korea","Asia"
"496","Quaid I Azam University","Pakistan","Asia"
"496","University of Jyväskylä","Finland","Europe"
"496","University of Lorraine","France","Europe"
"496","University of Strathclyde","United Kingdom","Europe"
