RANK,NAME,LOCATION
304,South Dakota School of Mines and Technology,"Rapid City, SD"
306,Augustana College--Sioux Falls,"Sioux Falls, SD"
306,Northeastern University,"Boston, MA"
306,University of Wisconsin--La Crosse,"La Crosse, WI"
306,New York University,"New York, NY"
306,Gannon University,"Erie, PA"
311,Butler University,"Indianapolis, IN"
312,Sewanee--The University of the South,"Sewanee, TN"
313,Pacific Lutheran University,"Tacoma, WA"
313,Susquehanna University,"Selinsgrove, PA"
315,Presbyterian College,"Clinton, SC"
316,University of South Carolina--Columbia,"Columbia, SC"
316,Creighton University,"Omaha, NE"
316,CUNY College of Staten Island,"Staten Island, NY"
316,Miami University--Oxford,"Oxford, OH"
316,Wisconsin Lutheran College,"Milwaukee, WI"
321,Pitzer College,"Claremont, CA"
322,Saint Peter's University,"Jersey City, NJ"
323,Taylor University,"Upland, IN"
324,DeSales University,"Center Valley, PA"
325,Roberts Wesleyan College,"Rochester, NY"
325,Duquesne University,"Pittsburgh, PA"
325,University of Colorado--Boulder,"Boulder, CO"
328,Carroll College,"Helena, MT"
329,California State University--Stanislaus,"Turlock, CA"
330,California State University--Long Beach,"Long Beach, CA"
330,Kansas State University,"Manhattan, KS"
332,Mercer University,"Macon, GA"
332,Marian University--Fond Du Lac,"Fond Du Lac, WI"
334,University of Kansas,"Lawrence, KS"
334,Saint Norbert College,"De Pere, WI"
336,College of Mount Saint Vincent,"Bronx, NY"
336,Southern Connecticut State University,"New Haven, CT"
336,Truman State University,"Kirksville, MO"
336,University of Northern Iowa,"Cedar Falls, IA"
336,Salem College,"Winston Salem, NC"
341,Huntington University,"Huntington, IN"
342,University of Maine--Farmington,"Farmington, ME"
343,Spelman College,"Atlanta, GA"
343,SUNY College--Oneonta,"Oneonta, NY"
345,SUNY--New Paltz,"New Paltz, NY"
345,Dickinson College,"Carlisle, PA"
345,Salve Regina University,"Newport, RI"
345,Clarke University,"Dubuque, IA"
349,Louisiana State University and Agricultural & Mechanical College,"Baton Rouge, LA"
350,Austin College,"Sherman, TX"
351,Eastern Illinois University,"Charleston, IL"
351,Seton Hall University,"South Orange, NJ"
353,University of Massachusetts--Lowell,"Lowell, MA"
353,Concordia College--Moorhead,"Moorhead, MN"
353,Luther College,"Decorah, IA"
356,Keene State College,"Keene, NH"
356,University of South Florida,"Tampa, FL"
356,Lebanon Valley College,"Annville, PA"
359,University of San Francisco,"San Francisco, CA"
359,Monmouth University,"West Long Branch, NJ"
361,Saint Joseph's College of Maine,"Standish, ME"
361,Saint Joseph's University,"Philadelphia, PA"
363,East Carolina University,"Greenville, NC"
364,University of North Dakota,"Grand Forks, ND"
364,University of Nebraska--Lincoln,"Lincoln, NE"
366,Misericordia University,"Dallas, PA"
367,Bay Path College,"Longmeadow, MA"
367,Morehouse College,"Atlanta, GA"
369,San Francisco State University,"San Francisco, CA"
369,Montana State University,"Bozeman, MT"
371,Wheaton College-Norton,"Norton, MA"
372,Bellarmine University,"Louisville, KY"
372,Sonoma State University,"Rohnert Park, CA"
372,Western Michigan University,"Kalamazoo, MI"
375,South Carolina State University,"Orangeburg, SC"
376,Loras College,"Dubuque, IA"
376,George Washington University,"Washington, DC"
378,Mount Saint Mary College,"Newburgh, NY"
379,University of North Carolina--Charlotte,"Charlotte, NC"
380,Loyola Marymount University,"Los Angeles, CA"
380,DePaul University,"Chicago, IL"
380,Saint Mary's University of Minnesota,"Winona, MN"
380,SUNY College--Plattsburgh,"Plattsburgh, NY"
384,Merrimack College,"North Andover, MA"
385,George Fox University,"Newberg, OR"
386,Neumann University,"Aston, PA"
387,Washington & Jefferson College,"Washington, PA"
388,University of Rhode Island,"Kingston, RI"
389,University of Dayton,"Dayton, OH"
